Date : 2022-07-23 23:49:58
Directory : c:\Flutter Projects\truyou
Total : 180 files,  29159 codes, 1230 comments, 2404 blanks, all 32793 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |        148 |     22,063 |      1,161 |      2,302 |     25,526 |
| JSON       |          9 |      6,620 |          0 |          5 |      6,625 |
| XML        |          9 |        133 |         51 |         16 |        200 |
| Groovy     |          3 |         81 |          3 |         20 |        104 |
| HTML       |          1 |         79 |         14 |          6 |         99 |
| JavaScript |          2 |         78 |          0 |         26 |        104 |
| YAML       |          1 |         67 |          0 |         12 |         79 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Swift      |          1 |         12 |          0 |          2 |         14 |
| Properties |          2 |          8 |          1 |          2 |         11 |
| Kotlin     |          1 |          4 |          0 |          3 |          7 |
| C++        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                  |        180 |     29,159 |      1,230 |      2,404 |     32,793 |
| android                                                                                            |         14 |        204 |         53 |         39 |        296 |
| android\app                                                                                        |         10 |        163 |         52 |         28 |        243 |
| android\app\src                                                                                    |          8 |         76 |         49 |         17 |        142 |
| android\app\src\debug                                                                              |          1 |          4 |          3 |          1 |          8 |
| android\app\src\main                                                                               |          6 |         68 |         43 |         15 |        126 |
| android\app\src\main\kotlin                                                                        |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\kotlin\com                                                                    |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\kotlin\com\example                                                            |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\kotlin\com\example\truyou                                                     |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\res                                                                           |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                  |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                              |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                    |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                              |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                            |          1 |          4 |          3 |          1 |          8 |
| android\gradle                                                                                     |          1 |          5 |          1 |          1 |          7 |
| android\gradle\wrapper                                                                             |          1 |          5 |          1 |          1 |          7 |
| functions                                                                                          |          4 |      4,677 |          0 |         27 |      4,704 |
| ios                                                                                                |          8 |        229 |          2 |          9 |        240 |
| ios\Runner                                                                                         |          7 |        222 |          2 |          9 |        233 |
| ios\Runner\Assets.xcassets                                                                         |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                      |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                    |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                              |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                |        144 |     21,659 |      1,129 |      2,241 |     25,029 |
| lib\bloc                                                                                           |         32 |      7,839 |        312 |      1,203 |      9,354 |
| lib\bloc\auth_bloc                                                                                 |          4 |      1,565 |         58 |        213 |      1,836 |
| lib\bloc\find_matches_bloc                                                                         |          4 |        779 |         33 |        123 |        935 |
| lib\bloc\gender_age_bloc                                                                           |          4 |        848 |         37 |        135 |      1,020 |
| lib\bloc\location_bloc                                                                             |          4 |      1,034 |         40 |        159 |      1,233 |
| lib\bloc\my_matches_bloc                                                                           |          4 |        919 |         36 |        145 |      1,100 |
| lib\bloc\swipe_bloc                                                                                |          4 |      1,100 |         39 |        163 |      1,302 |
| lib\bloc\unmatch_bloc                                                                              |          4 |        722 |         33 |        122 |        877 |
| lib\bloc\user_profile_bloc                                                                         |          4 |        872 |         36 |        143 |      1,051 |
| lib\components                                                                                     |         68 |      6,666 |        351 |        584 |      7,601 |
| lib\components\utils                                                                               |         38 |      4,363 |        251 |        449 |      5,063 |
| lib\components\utils\auto-route-tester                                                             |          2 |        132 |         12 |         31 |        175 |
| lib\components\utils\auto-validate-tester                                                          |          1 |         45 |         10 |          7 |         62 |
| lib\components\utils\constants                                                                     |          3 |        911 |        139 |         80 |      1,130 |
| lib\components\utils\date-helper                                                                   |          1 |         28 |          5 |          6 |         39 |
| lib\components\utils\exceptions                                                                    |          4 |      2,894 |         54 |        247 |      3,195 |
| lib\components\utils\formatters                                                                    |         10 |         65 |          3 |         21 |         89 |
| lib\components\utils\geo_helper                                                                    |          1 |         54 |          0 |         11 |         65 |
| lib\components\utils\injector                                                                      |          1 |         29 |          3 |          3 |         35 |
| lib\components\utils\media-query                                                                   |          1 |         35 |         19 |         13 |         67 |
| lib\components\utils\responsive-widget                                                             |          1 |         16 |          3 |          4 |         23 |
| lib\components\utils\styles                                                                        |          1 |         25 |          0 |          4 |         29 |
| lib\components\utils\validators                                                                    |         11 |        119 |          3 |         21 |        143 |
| lib\components\widgets                                                                             |         29 |      2,301 |        100 |        134 |      2,535 |
| lib\components\widgets\dialogs                                                                     |          1 |        833 |         64 |         14 |        911 |
