Date : 2022-04-07 22:04:14
Directory : c:\Flutter Projects\truyou
Total : 83 files,  5593 codes, 488 comments, 577 blanks, all 6658 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Flutter Projects\truyou\android\app\build.gradle                                                | Groovy     |         47 |          3 |         11 |         61 |
| c:\Flutter Projects\truyou\android\app\src\debug\AndroidManifest.xml                               | XML        |          4 |          3 |          1 |          8 |
| c:\Flutter Projects\truyou\android\app\src\main\AndroidManifest.xml                                | XML        |         37 |         11 |          6 |         54 |
| c:\Flutter Projects\truyou\android\app\src\main\kotlin\com\example\truyou\MainActivity.kt          | Kotlin     |          4 |          0 |          3 |          7 |
| c:\Flutter Projects\truyou\android\app\src\main\res\drawable-v21\launch_background.xml             | XML        |          4 |          7 |          2 |         13 |
| c:\Flutter Projects\truyou\android\app\src\main\res\drawable\launch_background.xml                 | XML        |          4 |          7 |          2 |         13 |
| c:\Flutter Projects\truyou\android\app\src\main\res\values-night\styles.xml                        | XML        |          9 |          9 |          1 |         19 |
| c:\Flutter Projects\truyou\android\app\src\main\res\values\styles.xml                              | XML        |          9 |          9 |          1 |         19 |
| c:\Flutter Projects\truyou\android\app\src\profile\AndroidManifest.xml                             | XML        |          4 |          3 |          1 |          8 |
| c:\Flutter Projects\truyou\android\build.gradle                                                    | Groovy     |         25 |          0 |          5 |         30 |
| c:\Flutter Projects\truyou\android\gradle.properties                                               | Properties |          3 |          0 |          1 |          4 |
| c:\Flutter Projects\truyou\android\gradle\wrapper\gradle-wrapper.properties                        | Properties |          5 |          1 |          1 |          7 |
| c:\Flutter Projects\truyou\android\settings.gradle                                                 | Groovy     |          8 |          0 |          4 |         12 |
| c:\Flutter Projects\truyou\ios\Runner\AppDelegate.swift                                            | Swift      |         12 |          0 |          2 |         14 |
| c:\Flutter Projects\truyou\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json             | JSON       |        122 |          0 |          1 |        123 |
| c:\Flutter Projects\truyou\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json           | JSON       |         23 |          0 |          1 |         24 |
| c:\Flutter Projects\truyou\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md               | Markdown   |          3 |          0 |          2 |          5 |
| c:\Flutter Projects\truyou\ios\Runner\Base.lproj\LaunchScreen.storyboard                           | XML        |         36 |          1 |          1 |         38 |
| c:\Flutter Projects\truyou\ios\Runner\Base.lproj\Main.storyboard                                   | XML        |         25 |          1 |          1 |         27 |
| c:\Flutter Projects\truyou\ios\Runner\Runner-Bridging-Header.h                                     | C++        |          1 |          0 |          1 |          2 |
| c:\Flutter Projects\truyou\lib\components\components.dart                                          | Dart       |          2 |          0 |          1 |          3 |
| c:\Flutter Projects\truyou\lib\components\utils\constants\constants.dart                           | Dart       |        181 |          5 |          6 |        192 |
| c:\Flutter Projects\truyou\lib\components\utils\date-helper\date_helper.dart                       | Dart       |         28 |          5 |          6 |         39 |
| c:\Flutter Projects\truyou\lib\components\utils\formatters\formatter.dart                          | Dart       |          7 |          0 |          1 |          8 |
| c:\Flutter Projects\truyou\lib\components\utils\formatters\long_text_formatter.dart                | Dart       |          4 |          0 |          2 |          6 |
| c:\Flutter Projects\truyou\lib\components\utils\formatters\match_pledging_formatter.dart           | Dart       |          4 |          0 |          2 |          6 |
| c:\Flutter Projects\truyou\lib\components\utils\formatters\password_formatter.dart                 | Dart       |          4 |          0 |          2 |          6 |
| c:\Flutter Projects\truyou\lib\components\utils\formatters\phone_number_formatter.dart             | Dart       |         10 |          0 |          3 |         13 |
| c:\Flutter Projects\truyou\lib\components\utils\formatters\short_text_formatter.dart               | Dart       |          4 |          0 |          2 |          6 |
| c:\Flutter Projects\truyou\lib\components\utils\formatters\space_remover_formatter.dart            | Dart       |         18 |          3 |          3 |         24 |
| c:\Flutter Projects\truyou\lib\components\utils\formatters\stake_trust_formatter.dart              | Dart       |          0 |          0 |          1 |          1 |
| c:\Flutter Projects\truyou\lib\components\utils\formatters\wallet_formatter.dart                   | Dart       |          4 |          0 |          2 |          6 |
| c:\Flutter Projects\truyou\lib\components\utils\responsive-widget\responsive_widget.dart           | Dart       |         16 |          3 |          4 |         23 |
| c:\Flutter Projects\truyou\lib\components\utils\utils.dart                                         | Dart       |          5 |          0 |          1 |          6 |
| c:\Flutter Projects\truyou\lib\components\utils\validators\email_validator.dart                    | Dart       |         10 |          3 |          2 |         15 |
| c:\Flutter Projects\truyou\lib\components\utils\validators\long_text_validator.dart                | Dart       |         10 |          0 |          2 |         12 |
| c:\Flutter Projects\truyou\lib\components\utils\validators\match_pledging_validator.dart           | Dart       |          0 |          0 |          1 |          1 |
| c:\Flutter Projects\truyou\lib\components\utils\validators\name_validator.dart                     | Dart       |         20 |          0 |          2 |         22 |
| c:\Flutter Projects\truyou\lib\components\utils\validators\otp_validator.dart                      | Dart       |         10 |          0 |          2 |         12 |
| c:\Flutter Projects\truyou\lib\components\utils\validators\password_validator.dart                 | Dart       |         10 |          0 |          2 |         12 |
| c:\Flutter Projects\truyou\lib\components\utils\validators\phone_number_validator.dart             | Dart       |         10 |          0 |          2 |         12 |
| c:\Flutter Projects\truyou\lib\components\utils\validators\short_text_validator.dart               | Dart       |         10 |          0 |          2 |         12 |
| c:\Flutter Projects\truyou\lib\components\utils\validators\stake_trust_validator.dart              | Dart       |          0 |          0 |          1 |          1 |
| c:\Flutter Projects\truyou\lib\components\utils\validators\validator.dart                          | Dart       |          8 |          0 |          1 |          9 |
| c:\Flutter Projects\truyou\lib\components\utils\validators\wallet_validator.dart                   | Dart       |         10 |          0 |          2 |         12 |
| c:\Flutter Projects\truyou\lib\components\widgets\custom_drawer.dart                               | Dart       |        104 |          1 |          6 |        111 |
| c:\Flutter Projects\truyou\lib\components\widgets\custom_drop_down.dart                            | Dart       |         98 |          4 |          6 |        108 |
| c:\Flutter Projects\truyou\lib\components\widgets\custom_textfield.dart                            | Dart       |        103 |          5 |          4 |        112 |
| c:\Flutter Projects\truyou\lib\components\widgets\dialogs\custom_dialog.dart                       | Dart       |        103 |          3 |          5 |        111 |
| c:\Flutter Projects\truyou\lib\components\widgets\drawer_item.dart                                 | Dart       |         45 |          0 |          4 |         49 |
| c:\Flutter Projects\truyou\lib\components\widgets\glow-buttons\circular_glowing_button.dart        | Dart       |         56 |          1 |          3 |         60 |
| c:\Flutter Projects\truyou\lib\components\widgets\glow-buttons\glowing_button.dart                 | Dart       |         65 |          1 |          4 |         70 |
| c:\Flutter Projects\truyou\lib\components\widgets\glow-buttons\outlined_glowing_button.dart        | Dart       |         70 |          2 |          5 |         77 |
| c:\Flutter Projects\truyou\lib\components\widgets\gradient_text.dart                               | Dart       |         27 |          1 |          4 |         32 |
| c:\Flutter Projects\truyou\lib\components\widgets\logo.dart                                        | Dart       |         15 |          1 |          4 |         20 |
| c:\Flutter Projects\truyou\lib\components\widgets\photo_card.dart                                  | Dart       |         58 |          3 |          4 |         65 |
| c:\Flutter Projects\truyou\lib\components\widgets\pledge_card.dart                                 | Dart       |         32 |          0 |          3 |         35 |
| c:\Flutter Projects\truyou\lib\components\widgets\swipe_card.dart                                  | Dart       |         85 |          3 |          4 |         92 |
| c:\Flutter Projects\truyou\lib\components\widgets\widgets.dart                                     | Dart       |         10 |          0 |          1 |         11 |
| c:\Flutter Projects\truyou\lib\main.dart                                                           | Dart       |         13 |          3 |          3 |         19 |
| c:\Flutter Projects\truyou\lib\models\auth_user_model.dart                                         | Dart       |         33 |          1 |          5 |         39 |
| c:\Flutter Projects\truyou\lib\screens\app_root.dart                                               | Dart       |         65 |          0 |          5 |         70 |
| c:\Flutter Projects\truyou\lib\screens\create-account-screens\create_account_details.dart          | Dart       |        466 |         68 |         23 |        557 |
| c:\Flutter Projects\truyou\lib\screens\create-account-screens\create_account_general.dart          | Dart       |        431 |         18 |         11 |        460 |
| c:\Flutter Projects\truyou\lib\screens\find-matches\find_matches.dart                              | Dart       |         12 |          0 |          4 |         16 |
| c:\Flutter Projects\truyou\lib\screens\home_screen.dart                                            | Dart       |        107 |          4 |          7 |        118 |
| c:\Flutter Projects\truyou\lib\screens\loading-screens\loading_screen.dart                         | Dart       |         51 |          5 |          7 |         63 |
| c:\Flutter Projects\truyou\lib\screens\match_pledging_screen.dart                                  | Dart       |        325 |         10 |         11 |        346 |
| c:\Flutter Projects\truyou\lib\screens\my-matches\my_matches.dart                                  | Dart       |         12 |          0 |          4 |         16 |
| c:\Flutter Projects\truyou\lib\screens\profile\my_profile.dart                                     | Dart       |         12 |          0 |          4 |         16 |
| c:\Flutter Projects\truyou\lib\screens\profile\user_profile.dart                                   | Dart       |          0 |          0 |          1 |          1 |
| c:\Flutter Projects\truyou\lib\screens\screens.dart                                                | Dart       |          9 |          0 |          1 |         10 |
| c:\Flutter Projects\truyou\lib\screens\sign-in-options\email_sign_in_screen.dart                   | Dart       |        199 |         12 |          8 |        219 |
| c:\Flutter Projects\truyou\lib\screens\sign-in-options\number-sign-in\number_sign_in.dart          | Dart       |        211 |          8 |          9 |        228 |
| c:\Flutter Projects\truyou\lib\screens\sign-in-options\number-sign-in\otp_verification_screen.dart | Dart       |        188 |          9 |          9 |        206 |
| c:\Flutter Projects\truyou\lib\screens\sign-in-options\welcome_screen.dart                         | Dart       |        202 |         14 |          5 |        221 |
| c:\Flutter Projects\truyou\lib\services\image_picker_service.dart                                  | Dart       |         30 |          5 |          6 |         41 |
| c:\Flutter Projects\truyou\pubspec.yaml                                                            | YAML       |         36 |         11 |         14 |         61 |
| c:\Flutter Projects\truyou\test\unit-tests\unit_test.dart                                          | Dart       |        229 |         28 |         18 |        275 |
| c:\Flutter Projects\truyou\test\widget-tests\widget_test.dart                                      | Dart       |      1,209 |        179 |        248 |      1,636 |
| c:\Flutter Projects\truyou\web\index.html                                                          | HTML       |         79 |         14 |          6 |         99 |
| c:\Flutter Projects\truyou\web\manifest.json                                                       | JSON       |         23 |          0 |          1 |         24 |
| Total                                                                                              |            |      5,593 |        488 |        577 |      6,658 |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
