Date : 2022-07-10 20:21:18
Directory : c:\Flutter Projects\truyou
Total : 160 files,  24990 codes, 1024 comments, 1743 blanks, all 27757 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| lib\bloc\find_matches_bloc                                                                         |          4 |        809 |         33 |        123 |        965 |
| lib\bloc\swipe_bloc                                                                                |          4 |      1,099 |         39 |        163 |      1,301 |
| lib\bloc\user_profile_bloc                                                                         |          4 |        718 |         38 |        118 |        874 |
| lib\components                                                                                     |         65 |      6,279 |        369 |        550 |      7,198 |
| lib\components\utils                                                                               |         36 |      4,006 |        265 |        421 |      4,692 |
| lib\components\utils\auto-route-tester                                                             |          2 |        132 |         12 |         31 |        175 |
| lib\components\utils\auto-validate-tester                                                          |          1 |         45 |         10 |          7 |         62 |
| lib\components\utils\constants                                                                     |          3 |        883 |        155 |         80 |      1,118 |
| lib\components\utils\date-helper                                                                   |          1 |         28 |          5 |          6 |         39 |
| lib\components\utils\exceptions                                                                    |          3 |      2,625 |         52 |        230 |      2,907 |
| lib\components\utils\formatters                                                                    |         10 |         65 |          3 |         21 |         89 |
| lib\components\utils\injector                                                                      |          1 |         23 |          3 |          3 |         29 |
| lib\components\utils\media-query                                                                   |          1 |         35 |         19 |         13 |         67 |
| lib\components\utils\responsive-widget                                                             |          1 |         16 |          3 |          4 |         23 |
| lib\components\utils\styles                                                                        |          1 |         25 |          0 |          4 |         29 |
| lib\components\utils\validators                                                                    |         11 |        119 |          3 |         21 |        143 |
| lib\components\widgets                                                                             |         28 |      2,271 |        104 |        128 |      2,503 |
| lib\components\widgets\dialogs                                                                     |          1 |        808 |         68 |         14 |        890 |
| lib\components\widgets\glow-buttons                                                                |          3 |        207 |          4 |         15 |        226 |
| lib\models                                                                                         |          2 |        731 |         15 |         34 |        780 |
| lib\models\truyou_user                                                                             |          2 |        731 |         15 |         34 |        780 |
| lib\repository                                                                                     |          4 |        274 |         60 |         55 |        389 |
| lib\screens                                                                                        |         33 |      5,913 |        288 |        312 |      6,513 |
| lib\screens\chats                                                                                  |          4 |        259 |          7 |         27 |        293 |
| lib\screens\chats\messages                                                                         |          3 |        145 |          4 |         14 |        163 |
| lib\screens\create-account-screens                                                                 |          2 |      1,048 |         75 |         41 |      1,164 |
| lib\screens\find-matches                                                                           |          2 |        311 |         14 |         19 |        344 |
| lib\screens\gift-screens                                                                           |          3 |        384 |          3 |         19 |        406 |
| lib\screens\gift-screens\send-gift-screens                                                         |          2 |        240 |          3 |         12 |        255 |
| lib\screens\go-social                                                                              |          3 |        472 |          2 |         29 |        503 |
| lib\screens\go-social\roles                                                                        |          2 |        346 |          1 |         21 |        368 |
| lib\screens\loading-screens                                                                        |          1 |         89 |          4 |         10 |        103 |
| lib\screens\match-pledging                                                                         |          1 |        361 |         16 |         12 |        389 |
| lib\screens\my-matches                                                                             |          1 |        125 |          5 |          6 |        136 |
| lib\screens\partnerships                                                                           |          1 |         17 |          0 |          3 |         20 |
| lib\screens\premium-features                                                                       |          1 |        411 |          2 |         19 |        432 |
| lib\screens\profile                                                                                |          2 |        586 |        104 |         16 |        706 |
| lib\screens\settings                                                                               |          5 |        826 |         16 |         60 |        902 |
| lib\screens\sign-in-options                                                                        |          5 |        893 |         35 |         43 |        971 |
| lib\screens\sign-in-options\number-sign-in                                                         |          2 |        400 |         17 |         18 |        435 |
| lib\services                                                                                       |          2 |         43 |          5 |         11 |         59 |
| test                                                                                               |          4 |        404 |         32 |         61 |        497 |
| test\bloc-tests                                                                                    |          1 |        112 |          1 |         29 |        142 |
| test\unit-tests                                                                                    |          1 |        276 |         30 |         24 |        330 |
| test\widget-tests                                                                                  |          2 |         16 |          1 |          8 |         25 |
| web                                                                                                |          2 |        102 |         14 |          7 |        123 |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                           | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Flutter Projects\truyou\README.md                                                               | Markdown   |         10 |          0 |          7 |         17 |
| c:\Flutter Projects\truyou\android\app\build.gradle                                                | Groovy     |         48 |          3 |         11 |         62 |
| c:\Flutter Projects\truyou\android\app\google-services.json                                        | JSON       |         39 |          0 |          0 |         39 |
| c:\Flutter Projects\truyou\android\app\src\debug\AndroidManifest.xml                               | XML        |          4 |          3 |          1 |          8 |
| c:\Flutter Projects\truyou\android\app\src\main\AndroidManifest.xml                                | XML        |         38 |         11 |          6 |         55 |
| c:\Flutter Projects\truyou\android\app\src\main\kotlin\com\example\truyou\MainActivity.kt          | Kotlin     |          4 |          0 |          3 |          7 |
| c:\Flutter Projects\truyou\android\app\src\main\res\drawable-v21\launch_background.xml             | XML        |          4 |          7 |          2 |         13 |
| c:\Flutter Projects\truyou\android\app\src\main\res\drawable\launch_background.xml                 | XML        |          4 |          7 |          2 |         13 |
| c:\Flutter Projects\truyou\android\app\src\main\res\values-night\styles.xml                        | XML        |          9 |          9 |          1 |         19 |
| c:\Flutter Projects\truyou\android\app\src\main\res\values\styles.xml                              | XML        |          9 |          9 |          1 |         19 |
| c:\Flutter Projects\truyou\android\app\src\profile\AndroidManifest.xml                             | XML        |          4 |          3 |          1 |          8 |
| c:\Flutter Projects\truyou\android\build.gradle                                                    | Groovy     |         25 |          0 |          5 |         30 |
| c:\Flutter Projects\truyou\android\gradle.properties                                               | Properties |          3 |          0 |          1 |          4 |
| c:\Flutter Projects\truyou\android\gradle\wrapper\gradle-wrapper.properties                        | Properties |          5 |          1 |          1 |          7 |
| c:\Flutter Projects\truyou\android\settings.gradle                                                 | Groovy     |          8 |          0 |          4 |         12 |
| c:\Flutter Projects\truyou\firebase.json                                                           | JSON       |          6 |          0 |          0 |          6 |
| c:\Flutter Projects\truyou\functions\.eslintrc.cjs                                                 | JavaScript |         14 |          0 |          1 |         15 |
| c:\Flutter Projects\truyou\functions\index.js                                                      | JavaScript |         48 |          0 |         19 |         67 |
| c:\Flutter Projects\truyou\functions\package-lock.json                                             | JSON       |      4,573 |          0 |          1 |      4,574 |
| c:\Flutter Projects\truyou\functions\package.json                                                  | JSON       |         26 |          0 |          0 |         26 |
| c:\Flutter Projects\truyou\ios\Runner\AppDelegate.swift                                            | Swift      |         12 |          0 |          2 |         14 |
| c:\Flutter Projects\truyou\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json             | JSON       |        122 |          0 |          1 |        123 |
| c:\Flutter Projects\truyou\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json           | JSON       |         23 |          0 |          1 |         24 |
| c:\Flutter Projects\truyou\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md               | Markdown   |          3 |          0 |          2 |          5 |
| c:\Flutter Projects\truyou\ios\Runner\Base.lproj\LaunchScreen.storyboard                           | XML        |         36 |          1 |          1 |         38 |
| c:\Flutter Projects\truyou\ios\Runner\Base.lproj\Main.storyboard                                   | XML        |         25 |          1 |          1 |         27 |
| c:\Flutter Projects\truyou\ios\Runner\Runner-Bridging-Header.h                                     | C++        |          1 |          0 |          1 |          2 |
| c:\Flutter Projects\truyou\ios\firebase_app_id_file.json                                           | JSON       |          7 |          0 |          0 |          7 |
| c:\Flutter Projects\truyou\lib\bloc\auth_bloc\auth_bloc.dart                                       | Dart       |         98 |          2 |         13 |        113 |
| c:\Flutter Projects\truyou\lib\bloc\auth_bloc\auth_bloc.freezed.dart                               | Dart       |      1,452 |         48 |        197 |      1,697 |
| c:\Flutter Projects\truyou\lib\bloc\auth_bloc\auth_event.dart                                      | Dart       |          4 |          8 |          1 |         13 |
| c:\Flutter Projects\truyou\lib\bloc\auth_bloc\auth_state.dart                                      | Dart       |         11 |          0 |          2 |         13 |
| c:\Flutter Projects\truyou\lib\bloc\find_matches_bloc\find_matches_bloc.dart                       | Dart       |         32 |          0 |          5 |         37 |
| c:\Flutter Projects\truyou\lib\bloc\find_matches_bloc\find_matches_bloc.freezed.dart               | Dart       |        762 |         33 |        114 |        909 |
| c:\Flutter Projects\truyou\lib\bloc\find_matches_bloc\find_matches_event.dart                      | Dart       |          7 |          0 |          2 |          9 |
| c:\Flutter Projects\truyou\lib\bloc\find_matches_bloc\find_matches_state.dart                      | Dart       |          8 |          0 |          2 |         10 |
| c:\Flutter Projects\truyou\lib\bloc\swipe_bloc\swipe_bloc.dart                                     | Dart       |         38 |          0 |          6 |         44 |
| c:\Flutter Projects\truyou\lib\bloc\swipe_bloc\swipe_bloc.freezed.dart                             | Dart       |      1,044 |         39 |        154 |      1,237 |
| c:\Flutter Projects\truyou\lib\bloc\swipe_bloc\swipe_event.dart                                    | Dart       |          8 |          0 |          2 |         10 |
| c:\Flutter Projects\truyou\lib\bloc\swipe_bloc\swipe_state.dart                                    | Dart       |          9 |          0 |          1 |         10 |
| c:\Flutter Projects\truyou\lib\bloc\user_profile_bloc\user_profile_bloc.dart                       | Dart       |         26 |          5 |          7 |         38 |
| c:\Flutter Projects\truyou\lib\bloc\user_profile_bloc\user_profile_bloc.freezed.dart               | Dart       |        679 |         33 |        109 |        821 |
| c:\Flutter Projects\truyou\lib\bloc\user_profile_bloc\user_profile_event.dart                      | Dart       |          5 |          0 |          1 |          6 |
| c:\Flutter Projects\truyou\lib\bloc\user_profile_bloc\user_profile_state.dart                      | Dart       |          8 |          0 |          1 |          9 |
| c:\Flutter Projects\truyou\lib\components\components.dart                                          | Dart       |          2 |          0 |          1 |          3 |
| c:\Flutter Projects\truyou\lib\components\utils\auto-route-tester\auto_drawer_route_tester.dart    | Dart       |         49 |          3 |         19 |         71 |
| c:\Flutter Projects\truyou\lib\components\utils\auto-route-tester\auto_route_tester.dart           | Dart       |         83 |          9 |         12 |        104 |
| c:\Flutter Projects\truyou\lib\components\utils\auto-validate-tester\auto_validate_tester.dart     | Dart       |         45 |         10 |          7 |         62 |
| c:\Flutter Projects\truyou\lib\components\utils\constants\constants.dart                           | Dart       |        338 |          5 |          6 |        349 |
| c:\Flutter Projects\truyou\lib\components\utils\constants\constants_export.dart                    | Dart       |          2 |          0 |          1 |          3 |
| c:\Flutter Projects\truyou\lib\components\utils\constants\keys.dart                                | Dart       |        543 |        150 |         73 |        766 |
| c:\Flutter Projects\truyou\lib\components\utils\date-helper\date_helper.dart                       | Dart       |         28 |          5 |          6 |         39 |
| c:\Flutter Projects\truyou\lib\components\utils\exceptions\exception_handler.dart                  | Dart       |        102 |          1 |          4 |        107 |
| c:\Flutter Projects\truyou\lib\components\utils\exceptions\failure_type.dart                       | Dart       |         24 |          0 |          3 |         27 |
| c:\Flutter Projects\truyou\lib\components\utils\exceptions\failure_type.freezed.dart               | Dart       |      2,499 |         51 |        223 |      2,773 |
| c:\Flutter Projects\truyou\lib\components\utils\formatters\formatter.dart                          | Dart       |          9 |          0 |          1 |         10 |
| c:\Flutter Projects\truyou\lib\components\utils\formatters\long_text_formatter.dart                | Dart       |          4 |          0 |          2 |          6 |
| c:\Flutter Projects\truyou\lib\components\utils\formatters\match_pledging_formatter.dart           | Dart       |          4 |          0 |          2 |          6 |
| c:\Flutter Projects\truyou\lib\components\utils\formatters\password_formatter.dart                 | Dart       |          4 |          0 |          2 |          6 |
| c:\Flutter Projects\truyou\lib\components\utils\formatters\phone_number_formatter.dart             | Dart       |         10 |          0 |          3 |         13 |
| c:\Flutter Projects\truyou\lib\components\utils\formatters\search_formatter.dart                   | Dart       |          4 |          0 |          2 |          6 |
| c:\Flutter Projects\truyou\lib\components\utils\formatters\short_text_formatter.dart               | Dart       |          4 |          0 |          2 |          6 |
| c:\Flutter Projects\truyou\lib\components\utils\formatters\space_remover_formatter.dart            | Dart       |         18 |          3 |          3 |         24 |
| c:\Flutter Projects\truyou\lib\components\utils\formatters\stake_trust_formatter.dart              | Dart       |          4 |          0 |          2 |          6 |
| c:\Flutter Projects\truyou\lib\components\utils\formatters\wallet_formatter.dart                   | Dart       |          4 |          0 |          2 |          6 |
| c:\Flutter Projects\truyou\lib\components\utils\injector\injection_container.dart                  | Dart       |         23 |          3 |          3 |         29 |
| c:\Flutter Projects\truyou\lib\components\utils\media-query\media_query.dart                       | Dart       |         35 |         19 |         13 |         67 |
| c:\Flutter Projects\truyou\lib\components\utils\responsive-widget\responsive_widget.dart           | Dart       |         16 |          3 |          4 |         23 |
| c:\Flutter Projects\truyou\lib\components\utils\styles\app_theme.dart                              | Dart       |         25 |          0 |          4 |         29 |
| c:\Flutter Projects\truyou\lib\components\utils\utils.dart                                         | Dart       |         10 |          0 |          1 |         11 |
| c:\Flutter Projects\truyou\lib\components\utils\validators\email_validator.dart                    | Dart       |         10 |          3 |          2 |         15 |
| c:\Flutter Projects\truyou\lib\components\utils\validators\long_text_validator.dart                | Dart       |         10 |          0 |          2 |         12 |
| c:\Flutter Projects\truyou\lib\components\utils\validators\name_validator.dart                     | Dart       |         20 |          0 |          2 |         22 |
| c:\Flutter Projects\truyou\lib\components\utils\validators\otp_validator.dart                      | Dart       |         10 |          0 |          2 |         12 |
| c:\Flutter Projects\truyou\lib\components\utils\validators\password_validator.dart                 | Dart       |         10 |          0 |          2 |         12 |
| c:\Flutter Projects\truyou\lib\components\utils\validators\phone_number_validator.dart             | Dart       |         10 |          0 |          2 |         12 |
| c:\Flutter Projects\truyou\lib\components\utils\validators\search_validator.dart                   | Dart       |          8 |          0 |          2 |         10 |
| c:\Flutter Projects\truyou\lib\components\utils\validators\short_text_validator.dart               | Dart       |         10 |          0 |          2 |         12 |
| c:\Flutter Projects\truyou\lib\components\utils\validators\trust_validator.dart                    | Dart       |         12 |          0 |          2 |         14 |
| c:\Flutter Projects\truyou\lib\components\utils\validators\validator.dart                          | Dart       |          9 |          0 |          1 |         10 |
| c:\Flutter Projects\truyou\lib\components\utils\validators\wallet_validator.dart                   | Dart       |         10 |          0 |          2 |         12 |
| c:\Flutter Projects\truyou\lib\components\widgets\back_button.dart                                 | Dart       |         18 |          0 |          3 |         21 |
| c:\Flutter Projects\truyou\lib\components\widgets\chat_item.dart                                   | Dart       |        107 |          7 |          9 |        123 |
| c:\Flutter Projects\truyou\lib\components\widgets\color_chip.dart                                  | Dart       |         15 |          0 |          3 |         18 |
| c:\Flutter Projects\truyou\lib\components\widgets\custom_app_bar.dart                              | Dart       |         22 |          1 |          2 |         25 |
| c:\Flutter Projects\truyou\lib\components\widgets\custom_drawer.dart                               | Dart       |        107 |          0 |          6 |        113 |
| c:\Flutter Projects\truyou\lib\components\widgets\custom_drop_down.dart                            | Dart       |         98 |          4 |          6 |        108 |
| c:\Flutter Projects\truyou\lib\components\widgets\custom_switch.dart                               | Dart       |         28 |          0 |          5 |         33 |
| c:\Flutter Projects\truyou\lib\components\widgets\custom_textfield.dart                            | Dart       |        108 |          5 |          4 |        117 |
| c:\Flutter Projects\truyou\lib\components\widgets\dialogs\custom_dialog.dart                       | Dart       |        808 |         68 |         14 |        890 |
| c:\Flutter Projects\truyou\lib\components\widgets\divider.dart                                     | Dart       |         14 |          1 |          4 |         19 |
| c:\Flutter Projects\truyou\lib\components\widgets\drawer_item.dart                                 | Dart       |         45 |          0 |          4 |         49 |
| c:\Flutter Projects\truyou\lib\components\widgets\gift_card.dart                                   | Dart       |         62 |          0 |          4 |         66 |
| c:\Flutter Projects\truyou\lib\components\widgets\glow-buttons\circular_glowing_button.dart        | Dart       |         56 |          1 |          3 |         60 |
| c:\Flutter Projects\truyou\lib\components\widgets\glow-buttons\glowing_button.dart                 | Dart       |         79 |          1 |          7 |         87 |
| c:\Flutter Projects\truyou\lib\components\widgets\glow-buttons\outlined_glowing_button.dart        | Dart       |         72 |          2 |          5 |         79 |
| c:\Flutter Projects\truyou\lib\components\widgets\gradient_chat_profile_picture.dart               | Dart       |         43 |          4 |          6 |         53 |
| c:\Flutter Projects\truyou\lib\components\widgets\gradient_text.dart                               | Dart       |         31 |          2 |          4 |         37 |
| c:\Flutter Projects\truyou\lib\components\widgets\loader.dart                                      | Dart       |         37 |          0 |          5 |         42 |
| c:\Flutter Projects\truyou\lib\components\widgets\logo.dart                                        | Dart       |         15 |          1 |          4 |         20 |
| c:\Flutter Projects\truyou\lib\components\widgets\my_matches_card.dart                             | Dart       |        130 |          0 |          3 |        133 |
| c:\Flutter Projects\truyou\lib\components\widgets\notification_card.dart                           | Dart       |         73 |          1 |          3 |         77 |
| c:\Flutter Projects\truyou\lib\components\widgets\photo_card.dart                                  | Dart       |         58 |          3 |          4 |         65 |
| c:\Flutter Projects\truyou\lib\components\widgets\pledge_card.dart                                 | Dart       |         32 |          0 |          3 |         35 |
| c:\Flutter Projects\truyou\lib\components\widgets\role_card.dart                                   | Dart       |         54 |          0 |          4 |         58 |
| c:\Flutter Projects\truyou\lib\components\widgets\save_button.dart                                 | Dart       |         29 |          0 |          4 |         33 |
| c:\Flutter Projects\truyou\lib\components\widgets\swipe_card.dart                                  | Dart       |         85 |          3 |          4 |         92 |
| c:\Flutter Projects\truyou\lib\components\widgets\user_profile_card.dart                           | Dart       |         33 |          0 |          4 |         37 |
| c:\Flutter Projects\truyou\lib\components\widgets\widgets.dart                                     | Dart       |         12 |          0 |          1 |         13 |
| c:\Flutter Projects\truyou\lib\firebase_options.dart                                               | Dart       |         60 |         12 |          5 |         77 |
| c:\Flutter Projects\truyou\lib\main.dart                                                           | Dart       |         16 |          6 |          2 |         24 |
| c:\Flutter Projects\truyou\lib\models\truyou_user\truyou_user_model.dart                           | Dart       |        105 |          0 |          7 |        112 |
| c:\Flutter Projects\truyou\lib\models\truyou_user\truyou_user_model.freezed.dart                   | Dart       |        626 |         15 |         27 |        668 |
| c:\Flutter Projects\truyou\lib\repository\cloud_function_repository.dart                           | Dart       |         27 |          4 |          6 |         37 |
| c:\Flutter Projects\truyou\lib\repository\firebase_repository.dart                                 | Dart       |        158 |         28 |         22 |        208 |
| c:\Flutter Projects\truyou\lib\repository\user_repository.dart                                     | Dart       |         59 |         26 |         21 |        106 |
| c:\Flutter Projects\truyou\lib\repository\wallet_repository.dart                                   | Dart       |         30 |          2 |          6 |         38 |
| c:\Flutter Projects\truyou\lib\screens\app_root.dart                                               | Dart       |        123 |          5 |          7 |        135 |
| c:\Flutter Projects\truyou\lib\screens\chats\chat_viewer.dart                                      | Dart       |        114 |          3 |         13 |        130 |
| c:\Flutter Projects\truyou\lib\screens\chats\messages\chats.dart                                   | Dart       |         51 |          1 |          5 |         57 |
| c:\Flutter Projects\truyou\lib\screens\chats\messages\notifications.dart                           | Dart       |         23 |          1 |          4 |         28 |
| c:\Flutter Projects\truyou\lib\screens\chats\messages\tab_view.dart                                | Dart       |         71 |          2 |          5 |         78 |
| c:\Flutter Projects\truyou\lib\screens\create-account-screens\create_account_details.dart          | Dart       |        588 |         57 |         29 |        674 |
| c:\Flutter Projects\truyou\lib\screens\create-account-screens\create_account_general.dart          | Dart       |        460 |         18 |         12 |        490 |
| c:\Flutter Projects\truyou\lib\screens\find-matches\find_matches.dart                              | Dart       |        182 |         11 |         13 |        206 |
| c:\Flutter Projects\truyou\lib\screens\find-matches\its_a_match_screen.dart                        | Dart       |        129 |          3 |          6 |        138 |
| c:\Flutter Projects\truyou\lib\screens\gift-screens\choose_gift_screen.dart                        | Dart       |        144 |          0 |          7 |        151 |
| c:\Flutter Projects\truyou\lib\screens\gift-screens\send-gift-screens\nft_gift.dart                | Dart       |        119 |          1 |          6 |        126 |
| c:\Flutter Projects\truyou\lib\screens\gift-screens\send-gift-screens\token_gift.dart              | Dart       |        121 |          2 |          6 |        129 |
| c:\Flutter Projects\truyou\lib\screens\go-social\go_social.dart                                    | Dart       |        126 |          1 |          8 |        135 |
| c:\Flutter Projects\truyou\lib\screens\go-social\roles\purchase_role.dart                          | Dart       |        141 |          1 |         10 |        152 |
| c:\Flutter Projects\truyou\lib\screens\go-social\roles\social_swag.dart                            | Dart       |        205 |          0 |         11 |        216 |
| c:\Flutter Projects\truyou\lib\screens\loading-screens\loading_screen.dart                         | Dart       |         89 |          4 |         10 |        103 |
| c:\Flutter Projects\truyou\lib\screens\match-pledging\match_pledging_screen.dart                   | Dart       |        361 |         16 |         12 |        389 |
| c:\Flutter Projects\truyou\lib\screens\my-matches\my_matches.dart                                  | Dart       |        125 |          5 |          6 |        136 |
| c:\Flutter Projects\truyou\lib\screens\partnerships\partnerships.dart                              | Dart       |         17 |          0 |          3 |         20 |
| c:\Flutter Projects\truyou\lib\screens\premium-features\premium_features.dart                      | Dart       |        411 |          2 |         19 |        432 |
| c:\Flutter Projects\truyou\lib\screens\profile\my_profile.dart                                     | Dart       |        317 |         53 |          9 |        379 |
| c:\Flutter Projects\truyou\lib\screens\profile\user_profile.dart                                   | Dart       |        269 |         51 |          7 |        327 |
| c:\Flutter Projects\truyou\lib\screens\screens.dart                                                | Dart       |          8 |          0 |          1 |          9 |
| c:\Flutter Projects\truyou\lib\screens\settings\connected_accounts.dart                            | Dart       |         87 |          2 |          7 |         96 |
| c:\Flutter Projects\truyou\lib\screens\settings\location_settings.dart                             | Dart       |        230 |         10 |         17 |        257 |
| c:\Flutter Projects\truyou\lib\screens\settings\notifications.dart                                 | Dart       |        100 |          3 |          7 |        110 |
| c:\Flutter Projects\truyou\lib\screens\settings\search_of.dart                                     | Dart       |        166 |          1 |         15 |        182 |
| c:\Flutter Projects\truyou\lib\screens\settings\settings.dart                                      | Dart       |        243 |          0 |         14 |        257 |
| c:\Flutter Projects\truyou\lib\screens\sign-in-options\email_sign_in_screen.dart                   | Dart       |        202 |          7 |         10 |        219 |
| c:\Flutter Projects\truyou\lib\screens\sign-in-options\forgot_password.dart                        | Dart       |        140 |          5 |          9 |        154 |
| c:\Flutter Projects\truyou\lib\screens\sign-in-options\number-sign-in\number_sign_in.dart          | Dart       |        211 |          8 |          9 |        228 |
| c:\Flutter Projects\truyou\lib\screens\sign-in-options\number-sign-in\otp_verification_screen.dart | Dart       |        189 |          9 |          9 |        207 |
| c:\Flutter Projects\truyou\lib\screens\sign-in-options\welcome_screen.dart                         | Dart       |        151 |          6 |          6 |        163 |
| c:\Flutter Projects\truyou\lib\services\image_picker_service.dart                                  | Dart       |         30 |          5 |          6 |         41 |
| c:\Flutter Projects\truyou\lib\services\provider_service.dart                                      | Dart       |         13 |          0 |          5 |         18 |
| c:\Flutter Projects\truyou\package-lock.json                                                       | JSON       |      1,801 |          0 |          1 |      1,802 |
| c:\Flutter Projects\truyou\pubspec.yaml                                                            | YAML       |         66 |          0 |         12 |         78 |
| c:\Flutter Projects\truyou\test\bloc-tests\auth_bloc_test.dart                                     | Dart       |        112 |          1 |         29 |        142 |
| c:\Flutter Projects\truyou\test\unit-tests\unit_test.dart                                          | Dart       |        276 |         30 |         24 |        330 |
| c:\Flutter Projects\truyou\test\widget-tests\auto_test.dart                                        | Dart       |         12 |          1 |          6 |         19 |
| c:\Flutter Projects\truyou\test\widget-tests\widget_test.dart                                      | Dart       |          4 |          0 |          2 |          6 |
| c:\Flutter Projects\truyou\web\index.html                                                          | HTML       |         79 |         14 |          6 |         99 |
| c:\Flutter Projects\truyou\web\manifest.json                                                       | JSON       |         23 |          0 |          1 |         24 |
| Total                                                                                              |            |     24,990 |      1,024 |      1,743 |     27,757 |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
