Date : 2022-07-10 20:21:18
Directory : c:\Flutter Projects\truyou
Total : 160 files,  24990 codes, 1024 comments, 1743 blanks, all 27757 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |        128 |     17,911 |        955 |      1,647 |     20,513 |
| JSON       |          9 |      6,620 |          0 |          5 |      6,625 |
| XML        |          9 |        133 |         51 |         16 |        200 |
| Groovy     |          3 |         81 |          3 |         20 |        104 |
| HTML       |          1 |         79 |         14 |          6 |         99 |
| YAML       |          1 |         66 |          0 |         12 |         78 |
| JavaScript |          2 |         62 |          0 |         20 |         82 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Swift      |          1 |         12 |          0 |          2 |         14 |
| Properties |          2 |          8 |          1 |          2 |         11 |
| Kotlin     |          1 |          4 |          0 |          3 |          7 |
| C++        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                  |        160 |     24,990 |      1,024 |      1,743 |     27,757 |
| android                                                                                            |         14 |        204 |         53 |         39 |        296 |
| android\app                                                                                        |         10 |        163 |         52 |         28 |        243 |
| android\app\src                                                                                    |          8 |         76 |         49 |         17 |        142 |
| android\app\src\debug                                                                              |          1 |          4 |          3 |          1 |          8 |
| android\app\src\main                                                                               |          6 |         68 |         43 |         15 |        126 |
| android\app\src\main\kotlin                                                                        |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\kotlin\com                                                                    |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\kotlin\com\example                                                            |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\kotlin\com\example\truyou                                                     |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\res                                                                           |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                  |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                              |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                    |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                              |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                            |          1 |          4 |          3 |          1 |          8 |
| android\gradle                                                                                     |          1 |          5 |          1 |          1 |          7 |
| android\gradle\wrapper                                                                             |          1 |          5 |          1 |          1 |          7 |
| functions                                                                                          |          4 |      4,661 |          0 |         21 |      4,682 |
| ios                                                                                                |          8 |        229 |          2 |          9 |        240 |
| ios\Runner                                                                                         |          7 |        222 |          2 |          9 |        233 |
| ios\Runner\Assets.xcassets                                                                         |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                      |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                    |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                              |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                |        124 |     17,507 |        923 |      1,586 |     20,016 |
| lib\bloc                                                                                           |         16 |      4,191 |        168 |        617 |      4,976 |
| lib\bloc\auth_bloc                                                                                 |          4 |      1,565 |         58 |        213 |      1,836 |
